Country,Trade flow
Australia,-55012.16023848474
Belgium,-39380.378619484574
Canada,-6851.4181845312605
France,-21695.994134683227
Germany,16259.426560177195
Indonesia,-8017.176146548658
Japan,29774.215027846985
"Korea, Republic of",-5442.3055343249125
Malaysia,-2583.680467640206
Mexico,221.59338785206546
Netherlands,-7283.046757606686
Philippines,-6546.587206604369
Spain,8129.377117717748
Thailand,-23903.628716588013
United Kingdom,3880.934559354935
United States,10338.002124937619
Viet Nam,-13166.512134025263
