,Country,2018,2019,2020
0,Australia,-51761.28734134817,-53439.981588513845,-67340.86857170507
1,Belgium,-37915.43611544382,-38727.4164959527,-47228.95752872128
2,Canada,-6252.096681312627,-7671.4359347940035,-9584.161632822135
3,France,-20029.1052511294,-21445.5613033571,-26883.621804631446
4,Germany,15973.24939253253,15629.37345009219,12129.44562406489
5,Indonesia,-10688.525518237,-9957.102925635463,-10691.431698371753
6,Japan,28276.760378494644,24299.61155706623,21625.53908842955
7,"Korea, Republic of",-6807.522217326352,-8560.36156898677,-7313.657404522092
8,Malaysia,-13220.592827426446,2984.2569832709596,3476.291417954475
9,Mexico,966.1149009485898,-1091.6461695507642,-3527.3758606546426
10,Netherlands,-7228.714374104149,-6878.391718672502,-7730.579850575383
11,Philippines,-6814.199180222303,-5266.063953407132,-9915.80375255109
12,Spain,7764.297665161983,4924.900130048476,8440.327376439524
13,Thailand,-31879.77117508634,-19851.6161814699,-29060.640973697173
14,United Kingdom,4704.115189259241,1621.4442119313917,2697.0137493670536
15,United States,12889.344096599336,884.4918222637971,-3855.3499678783373
16,Viet Nam,-9524.966185417681,-17680.55396364686,-21971.73428461585
